company_id,symbol,name,sector_id
1,RELIANCE.NS,RELIANCE.NS,1
2,TCS.NS,TCS.NS,2
3,INFY.NS,INFY.NS,2
4,HDFCBANK.NS,HDFCBANK.NS,3
5,ICICIBANK.NS,ICICIBANK.NS,3
6,HINDUNILVR.NS,HINDUNILVR.NS,4
7,KOTAKBANK.NS,KOTAKBANK.NS,3
8,SBIN.NS,SBIN.NS,3
9,BHARTIARTL.NS,BHARTIARTL.NS,7
10,ITC.NS,ITC.NS,4
11,LT.NS,LT.NS,6
12,AXISBANK.NS,AXISBANK.NS,3
13,BAJFINANCE.NS,BAJFINANCE.NS,3
14,MARUTI.NS,MARUTI.NS,5
15,TECHM.NS,TECHM.NS,2
16,HCLTECH.NS,HCLTECH.NS,2
17,WIPRO.NS,WIPRO.NS,2
18,ONGC.NS,ONGC.NS,1
19,TATAMOTORS.NS,TATAMOTORS.NS,5
20,ULTRACEMCO.NS,ULTRACEMCO.NS,6
21,M&M.NS,M&M.NS,5
22,TATASTEEL.NS,TATASTEEL.NS,6
23,ADANIPORTS.NS,ADANIPORTS.NS,1
24,BPCL.NS,BPCL.NS,1
25,IOC.NS,IOC.NS,1
26,GRASIM.NS,GRASIM.NS,6
27,NESTLEIND.NS,NESTLEIND.NS,4
28,SUNPHARMA.NS,SUNPHARMA.NS,8
29,DIVISLAB.NS,DIVISLAB.NS,8
30,HDFCLIFE.NS,HDFCLIFE.NS,9
31,HEROMOTOCO.NS,HEROMOTOCO.NS,5
32,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,5
33,POWERGRID.NS,POWERGRID.NS,1
34,CIPLA.NS,CIPLA.NS,8
35,JSWSTEEL.NS,JSWSTEEL.NS,6
36,SHREECEM.NS,SHREECEM.NS,6
37,TITAN.NS,TITAN.NS,10
38,HINDALCO.NS,HINDALCO.NS,6
39,COALINDIA.NS,COALINDIA.NS,1
40,HAVELLS.NS,HAVELLS.NS,10
41,EICHERMOT.NS,EICHERMOT.NS,5
42,ICICIGI.NS,ICICIGI.NS,9
43,ADANIGREEN.NS,ADANIGREEN.NS,1
44,TATAELXSI.NS,TATAELXSI.NS,2
45,BRITANNIA.NS,BRITANNIA.NS,4
46,BIOCON.NS,BIOCON.NS,8
47,APOLLOHOSP.NS,APOLLOHOSP.NS,12
48,SIEMENS.NS,SIEMENS.NS,13
